,Kruskal_time,Prim_time,Num_of_nodes,Completeness
218,0.0801,0.1453,190.0,9.0
219,0.08322,0.14944,190.0,10.0
220,0.08158,0.1466,190.0,1.0
221,0.08336,0.15516,190.0,2.0
222,0.08082,0.14737,190.0,3.0
223,0.07715,0.14831,190.0,4.0
224,0.08029,0.14585,190.0,5.0
225,0.08031,0.14542,190.0,6.0
226,0.07733,0.14505,190.0,7.0
227,0.0783,0.14456,190.0,8.0
228,0.07824,0.14433,190.0,9.0
229,0.07738,0.14531,190.0,10.0
230,0.0785,0.14399,190.0,1.0
231,0.08055,0.15033,190.0,2.0
232,0.07808,0.144,190.0,3.0
233,0.07763,0.14408,190.0,4.0
234,0.07805,0.14339,190.0,5.0
235,0.07735,0.14353,190.0,6.0
236,0.07756,0.14366,190.0,7.0
237,0.08068,0.14617,190.0,8.0
238,0.07748,0.14383,190.0,9.0
239,0.07958,0.14703,190.0,10.0
240,0.07952,0.14409,190.0,1.0
241,0.07968,0.14728,190.0,2.0
242,0.07864,0.14566,190.0,3.0
243,0.07993,0.14524,190.0,4.0
244,0.08245,0.14916,190.0,5.0
245,0.07957,0.14607,190.0,6.0
246,0.08446,0.16286,190.0,7.0
247,0.08432,0.15937,190.0,8.0
248,0.08445,0.16131,190.0,9.0
249,0.08134,0.14508,190.0,10.0
250,0.04997,0.12742,180.0,1.0
251,0.05248,0.12533,180.0,2.0
252,0.05008,0.12217,180.0,3.0
253,0.05026,0.12398,180.0,4.0
254,0.05085,0.12431,180.0,5.0
255,0.04977,0.12549,180.0,6.0
256,0.05074,0.12305,180.0,7.0
257,0.04995,0.12402,180.0,8.0
258,0.05093,0.12368,180.0,9.0
259,0.05135,0.12417,180.0,10.0
260,0.05021,0.12662,180.0,1.0
261,0.05006,0.124,180.0,2.0
262,0.05074,0.12384,180.0,3.0
263,0.0511,0.12394,180.0,4.0
264,0.05063,0.12265,180.0,5.0
265,0.05111,0.124,180.0,6.0
266,0.05186,0.12294,180.0,7.0
267,0.04932,0.12244,180.0,8.0
268,0.05023,0.12285,180.0,9.0
269,0.04966,0.12296,180.0,10.0
270,0.05032,0.12396,180.0,1.0
271,0.05161,0.123,180.0,2.0
272,0.04964,0.12335,180.0,3.0
273,0.05098,0.12326,180.0,4.0
274,0.04984,0.12389,180.0,5.0
275,0.04963,0.12439,180.0,6.0
276,0.04974,0.12455,180.0,7.0
277,0.05019,0.12506,180.0,8.0
278,0.05115,0.12317,180.0,9.0
279,0.05047,0.12339,180.0,10.0
280,0.04969,0.12311,180.0,1.0
281,0.04842,0.12277,180.0,2.0
282,0.04963,0.12324,180.0,3.0
283,0.0504,0.1243,180.0,4.0
284,0.05024,0.12275,180.0,5.0
285,0.05007,0.12433,180.0,6.0
286,0.05113,0.12386,180.0,7.0
287,0.04975,0.12319,180.0,8.0
288,0.0501,0.12315,180.0,9.0
289,0.0481,0.12383,180.0,10.0
290,0.04976,0.13536,180.0,1.0
291,0.05083,0.12336,180.0,2.0
292,0.05004,0.12386,180.0,3.0
293,0.05019,0.12267,180.0,4.0
294,0.04982,0.12336,180.0,5.0
295,0.04961,0.12366,180.0,6.0
296,0.04936,0.12349,180.0,7.0
297,0.05061,0.12369,180.0,8.0
298,0.05017,0.12456,180.0,9.0
299,0.0503,0.12387,180.0,10.0
300,0.05009,0.12435,180.0,1.0
301,0.0507,0.12426,180.0,2.0
302,0.04978,0.12854,180.0,3.0
303,0.0515,0.12296,180.0,4.0
304,0.049,0.12278,180.0,5.0
305,0.04975,0.12284,180.0,6.0
306,0.04808,0.12298,180.0,7.0
307,0.04811,0.12298,180.0,8.0
308,0.05108,0.12408,180.0,9.0
309,0.04928,0.12403,180.0,10.0
310,0.05044,0.12504,180.0,1.0
311,0.05206,0.12269,180.0,2.0
312,0.05086,0.12368,180.0,3.0
313,0.05163,0.12458,180.0,4.0
314,0.04982,0.1233,180.0,5.0
315,0.04926,0.12245,180.0,6.0
316,0.05094,0.12343,180.0,7.0
317,0.04906,0.12373,180.0,8.0
318,0.05111,0.12449,180.0,9.0
319,0.04946,0.1247,180.0,10.0
320,0.04901,0.12287,180.0,1.0
321,0.05033,0.12592,180.0,2.0
322,0.05079,0.12436,180.0,3.0
323,0.05034,0.12533,180.0,4.0
324,0.04926,0.12417,180.0,5.0
325,0.04974,0.1234,180.0,6.0
326,0.05111,0.1233,180.0,7.0
327,0.04998,0.12418,180.0,8.0
328,0.05183,0.12431,180.0,9.0
329,0.05107,0.12333,180.0,10.0
330,0.05007,0.12328,180.0,1.0
331,0.05019,0.12561,180.0,2.0
332,0.04899,0.12566,180.0,3.0
333,0.05055,0.12321,180.0,4.0
334,0.05166,0.12399,180.0,5.0
335,0.0492,0.12454,180.0,6.0
336,0.05045,0.12397,180.0,7.0
337,0.05,0.1236,180.0,8.0
338,0.05012,0.12331,180.0,9.0
339,0.05043,0.12363,180.0,10.0
340,0.04961,0.12568,180.0,1.0
341,0.0593,0.13156,180.0,2.0
342,0.059,0.12441,180.0,3.0
343,0.04995,0.12348,180.0,4.0
344,0.04973,0.12482,180.0,5.0
345,0.05064,0.12424,180.0,6.0
346,0.0507,0.12397,180.0,7.0
347,0.0501,0.12363,180.0,8.0
348,0.05003,0.12397,180.0,9.0
349,0.05025,0.12312,180.0,10.0
350,0.03548,0.10572,170.0,1.0
351,0.0358,0.10465,170.0,2.0
352,0.03504,0.10667,170.0,3.0
353,0.03796,0.10818,170.0,4.0
354,0.03767,0.10718,170.0,5.0
355,0.03464,0.10345,170.0,6.0
356,0.0351,0.10699,170.0,7.0
357,0.03581,0.10572,170.0,8.0
358,0.03542,0.10435,170.0,9.0
359,0.0366,0.10602,170.0,10.0
360,0.03495,0.10353,170.0,1.0
361,0.03504,0.10321,170.0,2.0
362,0.0353,0.10423,170.0,3.0
363,0.03457,0.1037,170.0,4.0
364,0.03531,0.10394,170.0,5.0
365,0.04497,0.27425,170.0,6.0
366,0.03677,0.10796,170.0,7.0
367,0.03577,0.11012,170.0,8.0
368,0.03739,0.10983,170.0,9.0
369,0.03669,0.11896,170.0,10.0
370,0.07412,0.13019,170.0,1.0
371,0.03876,0.11996,170.0,2.0
372,0.0366,0.10451,170.0,3.0
373,0.03501,0.10311,170.0,4.0
374,0.03462,0.1036,170.0,5.0
375,0.03594,0.10543,170.0,6.0
376,0.03525,0.10429,170.0,7.0
377,0.03529,0.10657,170.0,8.0
378,0.03521,0.1054,170.0,9.0
379,0.03531,0.10448,170.0,10.0
380,0.03511,0.10525,170.0,1.0
381,0.03485,0.10408,170.0,2.0
382,0.03475,0.10422,170.0,3.0
383,0.03487,0.10516,170.0,4.0
384,0.03508,0.1043,170.0,5.0
385,0.03521,0.10522,170.0,6.0
386,0.03517,0.10322,170.0,7.0
387,0.03492,0.10416,170.0,8.0
388,0.0354,0.1049,170.0,9.0
389,0.03531,0.10497,170.0,10.0
390,0.03639,0.10505,170.0,1.0
391,0.03512,0.10606,170.0,2.0
392,0.03504,0.10368,170.0,3.0
393,0.03514,0.10458,170.0,4.0
394,0.03492,0.10462,170.0,5.0
395,0.0368,0.10372,170.0,6.0
396,0.03516,0.10386,170.0,7.0
397,0.03528,0.10586,170.0,8.0
398,0.03525,0.1035,170.0,9.0
399,0.0365,0.10444,170.0,10.0
400,0.03518,0.10422,170.0,1.0
401,0.0358,0.10481,170.0,2.0
402,0.03526,0.10487,170.0,3.0
403,0.0358,0.10625,170.0,4.0
404,0.03557,0.1037,170.0,5.0
405,0.03552,0.10387,170.0,6.0
406,0.03454,0.10479,170.0,7.0
407,0.03575,0.10424,170.0,8.0
408,0.03568,0.10491,170.0,9.0
409,0.03555,0.10494,170.0,10.0
410,0.0353,0.10564,170.0,1.0
411,0.03649,0.10555,170.0,2.0
412,0.03651,0.10382,170.0,3.0
413,0.03551,0.10538,170.0,4.0
414,0.0352,0.10691,170.0,5.0
415,0.03584,0.10436,170.0,6.0
416,0.03587,0.10547,170.0,7.0
417,0.0348,0.10684,170.0,8.0
418,0.03556,0.10448,170.0,9.0
419,0.0352,0.10519,170.0,10.0
420,0.03508,0.10606,170.0,1.0
421,0.03486,0.10588,170.0,2.0
422,0.03511,0.10432,170.0,3.0
423,0.03483,0.10364,170.0,4.0
424,0.03522,0.10431,170.0,5.0
425,0.03538,0.10547,170.0,6.0
426,0.03659,0.1057,170.0,7.0
427,0.03497,0.1037,170.0,8.0
428,0.03507,0.10482,170.0,9.0
429,0.03504,0.10604,170.0,10.0
430,0.0352,0.10585,170.0,1.0
431,0.03536,0.10489,170.0,2.0
432,0.03637,0.10619,170.0,3.0
433,0.03621,0.10533,170.0,4.0
434,0.03502,0.10447,170.0,5.0
435,0.03689,0.10508,170.0,6.0
436,0.03552,0.10446,170.0,7.0
437,0.03672,0.10424,170.0,8.0
438,0.03608,0.10587,170.0,9.0
439,0.03492,0.10433,170.0,10.0
440,0.03509,0.10363,170.0,1.0
441,0.0357,0.10599,170.0,2.0
442,0.03499,0.10376,170.0,3.0
443,0.03504,0.10397,170.0,4.0
444,0.03598,0.10522,170.0,5.0
445,0.03503,0.10596,170.0,6.0
446,0.03522,0.10425,170.0,7.0
447,0.03508,0.10513,170.0,8.0
448,0.03468,0.10378,170.0,9.0
449,0.03531,0.10561,170.0,10.0
450,0.02746,0.08723,160.0,1.0
451,0.02747,0.08639,160.0,2.0
452,0.02731,0.08678,160.0,3.0
453,0.02849,0.08826,160.0,4.0
454,0.02862,0.08811,160.0,5.0
455,0.0274,0.08635,160.0,6.0
